	Geobacter_metallireducens	Saccharomyces_cerevisiae	Thermotoga_maritima	Pseudomonas_putida	Mus_musculus	Cricetulus_griseus	Mycobacterium_tuberculosis	Shigella_boydii	Shigella_sonnei	Lactococcus_lactis_subsp._cremoris	Phaeodactylum_tricornutum	Methanosarcina_barkeri	Clostridioides_difficile	Xylella_fastidiosa	Homo_sapiens	Plasmodium_falciparum	Bacillus_subtilis_subsp._subtilis	Chlamydomonas_reinhardtii	Salmonella_enterica_subsp._enterica	Escherichia_coli	Shigella_dysenteriae	Plasmodium_vivax	Plasmodium_cynomolgi	Plasmodium_berghei	Helicobacter_pylori	Staphylococcus_aureus_subsp._aureus	Acinetobacter_baumannii	Plasmodium_knowlesi	Synechococcus_elongatus	Streptococcus_thermophilus	Synechocystis_sp	Klebsiella_pneumoniae_subsp._pneumoniae	Shigella_flexneri	Yersinia_pestis	Trypanosoma_cruzi	Clostridium_ljungdahlii
Geobacter_metallireducens	0	673	549	568	791	749	512	605	625	627	667	556	559	541	808	687	608	702	611	637	573	698	688	663	554	597	561	682	526	608	517	673	601	616	781	534
Saccharomyces_cerevisiae	673	0	698	659	664	588	609	678	678	644	544	687	676	626	669	584	637	623	672	680	674	575	565	606	715	642	628	585	657	679	644	712	682	683	610	685
Thermotoga_maritima	549	698	0	745	968	900	635	706	734	460	806	619	512	538	979	642	607	893	740	776	656	665	671	620	549	556	674	683	579	439	570	812	674	667	872	511
Pseudomonas_putida	568	659	745	0	599	667	544	483	459	689	583	744	663	591	614	761	600	580	485	477	487	762	754	787	702	633	409	744	568	716	545	455	465	468	677	614
Mus_musculus	791	664	968	599	0	370	723	618	576	926	508	811	828	936	225	866	665	345	574	546	688	837	779	906	1053	804	714	817	789	1005	768	502	642	645	460	797
Cricetulus_griseus	749	588	900	667	370	0	679	718	686	866	508	763	834	832	365	750	677	419	668	642	752	739	693	800	965	772	724	743	755	921	726	624	718	721	400	797
Mycobacterium_tuberculosis	512	609	635	544	723	679	0	611	613	589	619	654	633	563	726	707	562	652	607	637	587	710	694	697	654	597	541	694	524	622	511	591	607	602	717	618
Shigella_boydii	605	678	706	483	618	718	611	0	154	624	632	745	590	638	635	772	601	631	278	208	192	777	757	758	685	624	540	771	643	679	634	332	194	321	748	605
Shigella_sonnei	625	678	734	459	576	686	613	154	0	646	618	765	604	674	585	784	583	599	228	140	208	781	771	782	739	640	522	763	655	709	642	270	162	305	716	617
Lactococcus_lactis_subsp._cremoris	627	644	460	689	926	866	589	624	646	0	778	657	492	546	921	620	511	869	668	686	590	631	615	608	541	430	620	637	617	295	604	716	606	599	838	529
Phaeodactylum_tricornutum	667	544	806	583	508	508	619	632	618	778	0	743	724	712	465	692	609	445	598	592	652	683	647	726	841	704	628	699	619	815	628	570	630	619	528	703
Methanosarcina_barkeri	556	687	619	744	811	763	654	745	765	657	743	0	609	665	830	691	712	766	733	767	713	730	724	675	678	673	683	740	628	632	627	811	751	750	783	616
Clostridioides_difficile	559	676	512	663	828	834	633	590	604	492	724	609	0	646	835	708	569	789	614	640	586	685	687	678	623	532	646	685	633	529	626	652	610	595	810	403
Xylella_fastidiosa	541	626	538	591	936	832	563	638	674	546	712	665	646	0	933	618	641	827	680	674	578	641	637	616	477	596	508	629	543	517	556	724	600	589	842	625
Homo_sapiens	808	669	979	614	225	365	726	635	585	921	465	830	835	933	0	871	664	360	583	551	703	836	778	909	1050	799	719	824	788	1012	749	517	657	646	471	784
Plasmodium_falciparum	687	584	642	761	866	750	707	772	784	620	692	691	708	618	871	0	713	813	814	806	726	427	433	382	611	644	712	441	665	601	684	824	748	727	760	721
Bacillus_subtilis_subsp._subtilis	608	637	607	600	665	677	562	601	583	511	609	712	569	641	664	713	0	650	585	581	593	678	662	701	682	435	571	680	608	580	615	577	589	568	723	558
Chlamydomonas_reinhardtii	702	623	893	580	345	419	652	631	599	869	445	766	789	827	360	813	650	0	577	579	665	764	736	837	948	785	669	756	696	934	681	519	647	654	455	748
Salmonella_enterica_subsp._enterica	611	672	740	485	574	668	607	278	228	668	598	733	614	680	583	814	585	577	0	262	298	789	771	814	747	646	534	773	653	721	606	266	260	351	722	599
Escherichia_coli	637	680	776	477	546	642	637	208	140	686	592	767	640	674	551	806	581	579	262	0	220	781	755	808	757	652	540	769	653	739	646	290	206	331	688	649
Shigella_dysenteriae	573	674	656	487	688	752	587	192	208	590	652	713	586	578	703	726	593	665	298	220	0	743	719	714	625	600	516	727	591	611	590	360	206	315	778	605
Plasmodium_vivax	698	575	665	762	837	739	710	777	781	631	683	730	685	641	836	427	678	764	789	781	743	0	392	441	632	639	719	412	690	640	699	791	777	744	679	700
Plasmodium_cynomolgi	688	565	671	754	779	693	694	757	771	615	647	724	687	637	778	433	662	736	771	755	719	392	0	435	646	643	711	402	678	656	677	783	741	734	675	698
Plasmodium_berghei	663	606	620	787	906	800	697	758	782	608	726	675	678	616	909	382	701	837	814	808	714	441	435	0	597	656	710	437	657	609	664	834	740	749	754	681
Helicobacter_pylori	554	715	549	702	1053	965	654	685	739	541	841	678	623	477	1050	611	682	948	747	757	625	632	646	597	0	623	595	634	592	488	605	831	669	676	947	628
Staphylococcus_aureus_subsp._aureus	597	642	556	633	804	772	597	624	640	430	704	673	532	596	799	644	435	785	646	652	600	639	643	656	623	0	590	675	631	479	618	638	616	589	780	555
Acinetobacter_baumannii	561	628	674	409	714	724	541	540	522	620	628	683	646	508	719	712	571	669	534	540	516	719	711	710	595	590	0	709	573	601	554	540	526	513	736	585
Plasmodium_knowlesi	682	585	683	744	817	743	694	771	763	637	699	740	685	629	824	441	680	756	773	769	727	412	402	437	634	675	709	0	674	666	669	781	753	722	701	692
Synechococcus_elongatus	526	657	579	568	789	755	524	643	655	617	619	628	633	543	788	665	608	696	653	653	591	690	678	657	592	631	573	674	0	592	371	659	631	616	771	614
Streptococcus_thermophilus	608	679	439	716	1005	921	622	679	709	295	815	632	529	517	1012	601	580	934	721	739	611	640	656	609	488	479	601	666	592	0	613	783	665	656	881	534
Synechocystis_sp	517	644	570	545	768	726	511	634	642	604	628	627	626	556	749	684	615	681	606	646	590	699	677	664	605	618	554	669	371	613	0	630	618	599	754	597
Klebsiella_pneumoniae_subsp._pneumoniae	673	712	812	455	502	624	591	332	270	716	570	811	652	724	517	824	577	519	266	290	360	791	783	834	831	638	540	781	659	783	630	0	344	337	656	673
Shigella_flexneri	601	682	674	465	642	718	607	194	162	606	630	751	610	600	657	748	589	647	260	206	206	777	741	740	669	616	526	753	631	665	618	344	0	335	750	617
Yersinia_pestis	616	683	667	468	645	721	602	321	305	599	619	750	595	589	646	727	568	654	351	331	315	744	734	749	676	589	513	722	616	656	599	337	335	0	755	638
Trypanosoma_cruzi	781	610	872	677	460	400	717	748	716	838	528	783	810	842	471	760	723	455	722	688	778	679	675	754	947	780	736	701	771	881	754	656	750	755	0	763
Clostridium_ljungdahlii	534	685	511	614	797	797	618	605	617	529	703	616	403	625	784	721	558	748	599	649	605	700	698	681	628	555	585	692	614	534	597	673	617	638	763	0
