,method,template,organism,genes,reactions,exchanges,metabolites,extracellularMetabolites
2,carveme,carveme,Mtub,944,1330,154,1087,0
17,carveme,carveme,Sthe,518,998,164,807,0
32,carveme,carveme,Xfas,557,1570,213,1270,0
0,permissive,all,Mtub,966,2292,0,2656,0
3,permissive,random,Mtub,517,1415,312,1546,312
5,permissive,random,Mtub,460,1225,552,1788,552
7,permissive,random,Mtub,534,1571,445,2047,445
9,permissive,random,Mtub,558,1671,402,1942,402
11,permissive,random,Mtub,502,1264,398,1755,398
13,permissive,select,Mtub,519,1136,155,1310,155
15,permissive,all,Sthe,521,3232,0,3411,0
18,permissive,random,Sthe,314,1119,218,1435,218
20,permissive,random,Sthe,307,854,200,980,200
22,permissive,random,Sthe,311,1264,467,1737,467
24,permissive,random,Sthe,335,1174,450,1587,450
26,permissive,random,Sthe,310,1003,166,1057,166
28,permissive,select,Sthe,387,1162,306,1247,306
30,permissive,all,Xfas,531,3419,1,3482,1
33,permissive,random,Xfas,369,1759,480,2356,480
35,permissive,random,Xfas,357,1279,396,1569,396
37,permissive,random,Xfas,327,1299,229,1581,229
39,permissive,random,Xfas,57,545,519,1296,519
41,permissive,random,Xfas,341,1248,318,1531,318
43,permissive,select,Xfas,348,983,186,1057,186
1,restrictive,all,Mtub,909,1702,0,1985,0
4,restrictive,random,Mtub,460,714,0,829,0
6,restrictive,random,Mtub,412,737,0,877,0
8,restrictive,random,Mtub,485,811,0,943,0
10,restrictive,random,Mtub,512,934,0,1110,0
12,restrictive,random,Mtub,447,748,0,962,0
14,restrictive,select,Mtub,465,750,0,856,0
16,restrictive,all,Sthe,491,2458,0,2633,0
19,restrictive,random,Sthe,305,632,0,803,0
21,restrictive,random,Sthe,276,539,0,635,0
23,restrictive,random,Sthe,293,702,0,860,0
25,restrictive,random,Sthe,319,719,0,825,0
27,restrictive,random,Sthe,293,494,0,611,0
29,restrictive,select,Sthe,369,839,0,907,0
31,restrictive,all,Xfas,503,2512,1,2705,1
34,restrictive,random,Xfas,356,934,0,1238,0
36,restrictive,random,Xfas,340,786,0,908,0
38,restrictive,random,Xfas,300,639,0,847,0
40,restrictive,random,Xfas,54,110,0,207,0
42,restrictive,random,Xfas,313,738,1,925,1
44,restrictive,select,Xfas,329,583,0,694,0
